"tcp_stream",protocol,"flow_id","flow_start","flow_finish","src_ip","src_port","dst_ip","dst_port","total_duration","start_time","finish_time","total_packets","total_bytes",pps,bps,bpp,"total_http_errors","total_failures","flag_ack","flag_fin","flag_psh","flag_rst","flag_syn","first_flag","last_flag"
998,HTTP,"192.168.10.14:49877->23.203.78.65:80","2017-07-03 12:09:17.306","2017-07-03 12:09:17.306","192.168.10.14",49877,"23.203.78.65",80,"0.000000","1499083757.306434","1499083757.306434",1,312,0,0,312,0,0,1,0,1,0,0,,
998,HTTP,"23.203.78.65:80->192.168.10.14:49877","2017-07-03 12:09:17.387","2017-07-03 12:09:17.387","23.203.78.65",80,"192.168.10.14",49877,"0.000000","1499083757.387804","1499083757.387804",1,1849,0,0,1849,0,0,1,0,1,0,0,,
998,LDAP,"192.168.10.25:49276->192.168.10.3:389","2017-07-03 12:24:01.503","2017-07-03 12:25:59.297","192.168.10.25",49276,"192.168.10.3",389,"117.794566","1499084641.503286","1499084759.297852",5,1493,"0.0424467797","12.6746084","298.6",0,0,5,0,5,0,0,,
998,LDAP,"192.168.10.3:389->192.168.10.25:49276","2017-07-03 12:24:01.522","2017-07-03 12:24:01.525","192.168.10.3",389,"192.168.10.25",49276,"0.002304","1499084641.522883","1499084641.525187",3,262,1302,113711,"87.33333333333333",0,0,3,0,3,0,0,,
998,TCP,"125.212.216.123:443->192.168.10.8:51460","2017-07-03 14:09:29.902","2017-07-03 14:09:31.715","125.212.216.123",443,"192.168.10.8",51460,"1.812973","1499090969.902813","1499090971.715786",86,148920,"47.43590","82141.32","1731.6279069767443",0,0,86,0,1,0,1,"SYN, ACK",ACK
998,TCP,"172.217.9.226:443->192.168.10.12:44746","2017-07-03 12:43:15.013","2017-07-03 12:46:15.863","172.217.9.226",443,"192.168.10.12",44746,"180.850527","1499085795.013141","1499085975.863668",7,1418,"0.0387059972","7.84072915","202.57142857142858",0,0,7,1,0,0,1,"SYN, ACK","FIN, ACK"
998,TCP,"192.168.10.12:44746->172.217.9.226:443","2017-07-03 12:43:14.976","2017-07-03 12:46:15.863","192.168.10.12",44746,"172.217.9.226",443,"180.886884","1499085794.976874","1499085975.863758",9,0,"0.0497548512","0.00000000",0,0,0,8,1,0,0,1,SYN,ACK
998,TCP,"192.168.10.12:52610->23.111.11.111:443","2017-07-03 13:20:34.452","2017-07-03 13:20:40.396","192.168.10.12",52610,"23.111.11.111",443,"5.943273","1499088034.452933","1499088040.396206",8,0,"1.346060","0.000000",0,0,0,7,1,0,0,1,SYN,ACK
998,TCP,"192.168.10.14:49877->23.203.78.65:80","2017-07-03 12:09:17.283","2017-07-03 12:11:12.848","192.168.10.14",49877,"23.203.78.65",80,"115.565317","1499083757.283031","1499083872.848348",40,11,"0.346124608","0.0951842672","0.275",0,0,39,1,0,0,1,SYN,ACK
998,TCP,"192.168.10.16:49498->216.58.219.228:443","2017-07-03 12:29:44.947","2017-07-03 12:32:54.026","192.168.10.16",49498,"216.58.219.228",443,"189.078728","1499084984.947878","1499085174.026606",17,0,"0.0899096380","0.00000000",0,0,0,16,1,0,0,1,SYN,ACK
998,TCP,"192.168.10.25:49276->192.168.10.3:389","2017-07-03 12:24:01.502","2017-07-03 12:25:59.297","192.168.10.25",49276,"192.168.10.3",389,"117.794884","1499084641.502972","1499084759.297856",17,1493,"0.144318661","12.6745742","87.82352941176471",0,0,15,0,5,0,2,SYN,"TCP Retransmission"
998,TCP,"192.168.10.3:389->192.168.10.25:49276","2017-07-03 12:24:01.503","2017-07-03 12:25:59.297","192.168.10.3",389,"192.168.10.25",49276,"117.794957","1499084641.503021","1499084759.297978",10,6082,"0.0848932778","51.6320916","608.2",0,0,10,0,5,2,2,"SYN, ACK","RST, ACK"
998,TCP,"192.168.10.5:51743->52.204.153.150:443","2017-07-03 12:39:46.816","2017-07-03 12:40:52.777","192.168.10.5",51743,"52.204.153.150",443,"65.960512","1499085586.816926","1499085652.777438",13,1,"0.19708762","0.015160586","0.07692307692307693",0,0,12,1,0,0,1,SYN,ACK
998,TCP,"192.168.10.5:51929->52.44.158.240:443","2017-07-03 12:50:08.369","2017-07-03 12:50:24.851","192.168.10.5",51929,"52.44.158.240",443,"16.481574","1499086208.369922","1499086224.851496",4,1,"0.24269527","0.060673816","0.25",0,0,4,1,0,0,0,"TCP segment of a reassembled PDU",ACK
998,TCP,"192.168.10.8:51460->125.212.216.123:443","2017-07-03 14:09:29.645","2017-07-03 14:09:31.458","192.168.10.8",51460,"125.212.216.123",443,"1.813289","1499090969.645464","1499090971.458753",64,0,"35.29498","0.000000",0,0,0,63,1,0,0,1,SYN,"FIN, ACK"
998,TCP,"216.58.219.228:443->192.168.10.16:49498","2017-07-03 12:29:44.984","2017-07-03 12:32:54.026","216.58.219.228",443,"192.168.10.16",49498,"189.042037","1499084984.984522","1499085174.026559",17,0,"0.0899270885","0.00000000",0,0,0,17,1,0,0,1,"SYN, ACK",ACK
998,TCP,"23.111.11.111:443->192.168.10.12:52610","2017-07-03 13:20:34.472","2017-07-03 13:20:40.396","23.111.11.111",443,"192.168.10.12",52610,"5.923706","1499088034.472416","1499088040.396122",5,2920,"0.8440662","492.9347",584,0,0,5,1,0,0,1,"SYN, ACK","FIN, ACK"
998,TCP,"23.203.78.65:80->192.168.10.14:49877","2017-07-03 12:09:17.306","2017-07-03 12:11:12.848","23.203.78.65",80,"192.168.10.14",49877,"115.542088","1499083757.306238","1499083872.848326",47,71540,"0.406778178","619.168315","1522.127659574468",0,0,47,1,0,0,1,"SYN, ACK","FIN, ACK"
998,TCP,"52.204.153.150:443->192.168.10.5:51743","2017-07-03 12:39:46.867","2017-07-03 12:40:52.777","52.204.153.150",443,"192.168.10.5",51743,"65.910015","1499085586.867419","1499085652.777434",6,2636,"0.091033206","39.993922","439.3333333333333",0,0,6,1,1,0,1,"SYN, ACK","FIN, ACK"
998,TCP,"52.44.158.240:443->192.168.10.5:51929","2017-07-03 12:50:08.423","2017-07-03 12:50:24.851","52.44.158.240",443,"192.168.10.5",51929,"16.428049","1499086208.423430","1499086224.851479",2,0,"0.12174300","0.0000000",0,0,0,2,1,0,0,0,ACK,"FIN, ACK"
998,TLSv1,"192.168.10.12:44746->172.217.9.226:443","2017-07-03 12:43:15.013","2017-07-03 12:43:15.013","192.168.10.12",44746,"172.217.9.226",443,"0.000000","1499085795.013549","1499085795.013549",1,206,0,0,206,0,0,1,0,1,0,0,,
998,TLSv1,"192.168.10.12:52610->23.111.11.111:443","2017-07-03 13:20:34.472","2017-07-03 13:20:34.472","192.168.10.12",52610,"23.111.11.111",443,"0.000000","1499088034.472643","1499088034.472643",1,517,0,0,517,0,0,1,0,1,0,0,,
998,TLSv1,"192.168.10.16:49498->216.58.219.228:443","2017-07-03 12:29:44.985","2017-07-03 12:29:44.985","192.168.10.16",49498,"216.58.219.228",443,"0.000000","1499084984.985535","1499084984.985535",1,517,0,0,517,0,0,1,0,1,0,0,,
998,TLSv1,"192.168.10.5:51743->52.204.153.150:443","2017-07-03 12:39:46.867","2017-07-03 12:39:46.867","192.168.10.5",51743,"52.204.153.150",443,"0.000000","1499085586.867649","1499085586.867649",1,239,0,0,239,0,0,1,0,1,0,0,,
998,TLSv1,"192.168.10.8:51460->125.212.216.123:443","2017-07-03 14:09:29.903","2017-07-03 14:09:29.903","192.168.10.8",51460,"125.212.216.123",443,"0.000000","1499090969.903130","1499090969.903130",1,517,0,0,517,0,0,1,0,1,0,0,,
998,"TLSv1.2","125.212.216.123:443->192.168.10.8:51460","2017-07-03 14:09:30.160","2017-07-03 14:09:31.453","125.212.216.123",443,"192.168.10.8",51460,"1.292394","1499090970.160722","1499090971.453116",12,21506,"9.285095","16640.44","1792.1666666666667",0,0,12,1,3,0,0,"TCP segment of a reassembled PDU","TCP segment of a reassembled PDU"
998,"TLSv1.2","172.217.9.226:443->192.168.10.12:44746","2017-07-03 12:43:15.050","2017-07-03 12:46:12.038","172.217.9.226",443,"192.168.10.12",44746,"176.987946","1499085795.050470","1499085972.038416",9,3196,"0.0508509207","18.0577270","355.1111111111111",0,0,9,0,8,0,0,"TCP Spurious Retransmission","TCP Spurious Retransmission"
998,"TLSv1.2","192.168.10.12:44746->172.217.9.226:443","2017-07-03 12:43:15.055","2017-07-03 12:46:15.827","192.168.10.12",44746,"172.217.9.226",443,"180.771950","1499085795.055355","1499085975.827305",8,509,"0.0442546534","2.81570233","63.625",0,0,8,0,8,0,0,,
998,"TLSv1.2","192.168.10.12:52610->23.111.11.111:443","2017-07-03 13:20:34.507","2017-07-03 13:20:40.376","192.168.10.12",52610,"23.111.11.111",443,"5.869175","1499088034.507029","1499088040.376204",2,157,"0.3407634","26.74993","78.5",0,0,2,0,2,0,0,,
998,"TLSv1.2","192.168.10.16:49498->216.58.219.228:443","2017-07-03 12:29:45.023","2017-07-03 12:32:53.990","192.168.10.16",49498,"216.58.219.228",443,"188.967006","1499084985.023173","1499085173.990179",23,3510,"0.121714370","18.5746712","152.6086956521739",0,0,23,0,23,0,0,,
998,"TLSv1.2","192.168.10.5:51743->52.204.153.150:443","2017-07-03 12:39:46.922","2017-07-03 12:39:50.792","192.168.10.5",51743,"52.204.153.150",443,"3.870491","1499085586.922222","1499085590.792713",4,1725,"1.033461","445.6799","431.25",0,0,4,0,4,0,0,,
998,"TLSv1.2","192.168.10.8:51460->125.212.216.123:443","2017-07-03 14:09:30.161","2017-07-03 14:09:30.162","192.168.10.8",51460,"125.212.216.123",443,"0.000867","1499090970.161713","1499090970.162580",2,460,2306,530487,230,0,0,2,0,2,0,0,,
998,"TLSv1.2","216.58.219.228:443->192.168.10.16:49498","2017-07-03 12:29:45.022","2017-07-03 12:32:49.732","216.58.219.228",443,"192.168.10.16",49498,"184.710247","1499084985.022347","1499085169.732594",24,5404,"0.129933235","29.2566335","225.16666666666666",0,0,24,0,24,0,0,,
998,"TLSv1.2","23.111.11.111:443->192.168.10.12:52610","2017-07-03 13:20:34.502","2017-07-03 13:20:34.527","23.111.11.111",443,"192.168.10.12",52610,"0.024992","1499088034.502342","1499088034.527334",3,3094,"120.04",123800,"1031.3333333333333",0,0,3,0,2,0,0,,
998,"TLSv1.2","52.204.153.150:443->192.168.10.5:51743","2017-07-03 12:39:46.918","2017-07-03 12:40:50.981","52.204.153.150",443,"192.168.10.5",51743,"64.062725","1499085586.918612","1499085650.981337",12,8141,"0.18731642","127.07858","678.4166666666666",0,0,12,0,11,0,0,,
998,"TLSv1.2","52.44.158.240:443->192.168.10.5:51929","2017-07-03 12:50:24.075","2017-07-03 12:50:24.075","52.44.158.240",443,"192.168.10.5",51929,"0.000000","1499086224.075455","1499086224.075455",1,31,0,0,31,0,0,1,0,1,0,0,,
